nome,categoria,instagram,whatsapp,email,site,bairro,cidade,observacoes
Madeira Viva Escola de Marcenaria,marcenaria,madeiravivahobby,1155753826,,https://www.madeiraviva.com/,Jabaquara,São Paulo,"Escola de Celso Yamamoto em Av. Eng. George Corbisier 943, próxima ao metrô Jabaquara. Marcenaria como arte-terapia, abordagem antiestresse premium."
Oficinalab Marcenaria,marcenaria,oficinalab,11944544646,,https://www.oficinalab.com.br/,Barra Funda,São Paulo,"Galpão de 700m² fundado pelos arquitetos Daniel Sene e Alex Uzueli. Cursos de marcenaria autoral e coworking de marcenaria, prancha SUP, projetos de design."
Sergio Prata Atelier de Vidro,vidro,atelierdearteprata,,,https://www.sergioprata.com.br/,São Paulo,São Paulo,"Atelier referência em fusing e vitral autoral. Cursos com Rogério Baggio e Dulce Schmidt, técnicas de relevo, esmaltação e fundição em alta temperatura."
Atelier Azzurro,vidro,atelierazzurro,1156416421,,https://www.atelierazzurro.com.br/,Vila Cruzeiro,São Paulo,"Atelier de Rossana Gobbi (desde 1994) dedicado ao design de vidro fundido. Cursos avançados de fusing com curva de queima, moldagem e acabamento profissional."
Awake Yoga Studio,yoga,awake.yoga,11930839496,,https://www.awakeyoga.com.br/,Vila Madalena,São Paulo,"Estúdio em Rua Aspicuelta 339 com 7 dias de aulas. Hatha, Vinyasa, Yin, restaurativo, meditação e boutique de bem-estar. 16k seguidores, perfil moderno-sensorial."
Hot Yoga São Paulo,yoga,hotyogasp,11998306465,info@hotyogasaopaulo.com,https://www.hotyogasaopaulo.com/,Vila Madalena,São Paulo,"Pioneiro de Hot Yoga em SP desde 2013 na Rua Mourato Coelho 755. Vinyasa Flow, Fusion Flow e MūTi Flow, ambiente premium aquecido. Unidade Paulista também."
Vidya Studio,yoga,vidyastudio,11988546635,vidyapinheiros@vidyastudio.com.br,https://www.vidyastudio.com.br/,Pinheiros,São Paulo,"Estúdio premium em Rua dos Pinheiros 801. Grade ampla com Hatha, Vinyasa, Yin, restaurativo e Yoga com Props. Estética minimalista, comunidade engajada."
Decora Flora,floral,decoraflora,11976212192,contato@decoraflora.com.br,https://www.decoraflora.com.br/,Jabaquara,São Paulo,"Escola de arranjos florais com infraestrutura completa em Av. Eng. Armando de Arruda Pereira 2937. Portfolio incluído ao fim do curso, abordagem profissional."
Buddha Spa Jardins,spa,buddhaspajardins,1131675290,,https://buddhaspa.com.br/unidades/jardins/,Jardins,São Paulo,"Maior rede premium de spas urbanos do Brasil. Unidade Jardins com 25+ terapias, day spas, banhos de imersão e ofurô casal. Estética sofisticada conhecida da revista Vogue."
Pavio de Algodão,vela,paviodealgodao,11951633503,,https://www.paviodealgodao.com.br/,Vila Madalena,São Paulo,"Loja em Rua Purpurina 427 com velas, sprays e difusores naturais artesanais. Embalagens premium e estética acolhedora alinhada com pausas conscientes."
