nome,categoria,instagram,whatsapp,email,site,bairro,cidade,observacoes
Rug Lab Tufting Studio,tufting,ruglab_br,,,,Liberdade,São Paulo,"Jovem e instagrammável. Primeiro tufting experience do Brasil na Rua Thomaz Gonzaga 95, workshops onde o cliente faz seu próprio tapete, formato turma corporativa e privada."
Fio Maravilha Studio,bordado,fiomaravilhastudio,,,https://www.fiomaravilhastudio.com.br/,Pinheiros,São Paulo,"Premium e autoral. Ateliê de bordado livre e clássico fundado por Isa Berenice Elisabetsky, com workshops temáticos, beadwork e costura criativa em ambiente acolhedor."
Natalia Rios Bordados de Arte,bordado,riosnataliarios,,natalia@nataliarios.com.br,https://www.nataliarios.com.br/,Jardins,São Paulo,"Sofisticado e autoral. Escola e ateliê especializado em Crochet de Lunéville (técnica francesa de Chanel/Dior), cursos do básico ao avançado de bordado de arte."
Atelier Luiz Fernando Machado,encadernacao,ateliermachado,,atendimento@ateliermachado.com.br,https://www.ateliermachado.com.br/,Vila Madalena,São Paulo,"Premium artesanal e tradicional. Espaço de 400m² de papelaria fina com técnicas de marmorização, encadernação, douração e gravação desde 1995."
Lá Na Villa Ateliê de Encadernação,encadernacao,lanavillaatelie,,,https://lanavilla.com.br/,Vila Madalena,São Paulo,"Autoral e delicado. Ateliê de encadernação artesanal e papelaria fina em linho com bordado e relevo, criado por Andréia Salomão; experiências e workshops sob encomenda."
Paralela Escola Olfativa,perfumaria,paralela_escola_olfativa,,contato@paralelaescolaolfativa.com.br,https://paralelaescolaolfativa.com.br/,Pinheiros,São Paulo,"Premium e referência nacional. Única escola de perfumaria do Brasil com certificação francesa Cinquième Sens; ateliê de criação de fragrâncias autorais."
Fabio Navarro Perfumista,perfumaria,fabionavarro_perfume,,,https://fabionavarro.com.br/,Pinheiros,São Paulo,"Sofisticado e autoral. Atelier do perfumista Fábio Navarro (ex-IFF/Symrise) com cursos Encontro Perfumado e formação em criação de fragrâncias."
Harbolita,perfumaria,harbolita,,contato@harbolita.com,https://harbolita.com/,Pinheiros,São Paulo,"Autoral e sensorial. Oficina de perfumaria natural conduzida por Camila Pazini, criação de fragrância 100% natural autoral em vivência boutique."
Rosa de Luz,aromaterapia,rosadeluz.aromaterapia,,,https://www.rosadeluz.com.br/,Aclimação,São Paulo,"Espaço terapêutico premium. Loja e cursos de aromaterapia, plantas medicinais e perfumaria natural com instrutor Theo Bibancos; vivências sensoriais 100% naturais."
Aromaflora,aromaterapia,aromaflora.aromaterapia,,cursos@aromaflora.com.br,https://www.aromaflora.com.br/,Vila Mariana,São Paulo,"Curatorial e técnico. Associação pioneira em aromaterapia no Brasil desde 2004; oficinas presenciais de Aromas e Emoções e formação profissional."
Vela Made in São Paulo,vela,vela_madeinsaopaulo,,loja@velamadeinsaopaulo.com.br,https://www.velamadeinsaopaulo.com.br/,República,São Paulo,"Marca paulistana autoral. Velas de soja artesanais inspiradas na arquitetura da cidade (linha Viadutos/Casual); loja-conceito no Centro com potencial para experiências."
Penno Flores,floral,pennoflores,,contato@pennoflores.com.br,https://pennoflores.com.br/,Vila Leopoldina,São Paulo,"Premium e exclusivo. Workshops individuais de 2h de criação de buquês grandes com harmonia de cor; flagship em Cidade Jardim e showroom em Vila Leopoldina."
Lucia Milan Flower Studio,floral,luciamilan,,,https://luciamilan.com/,Morumbi,São Paulo,"Renomado e refinado. Floral designer com 25 anos de carreira, Flower School com workshops presenciais de arte floral sustentável e estética minimalista."
Casa Contemporânea,pintura,casacontemporanea370,,,https://casacontemporanea370.com/,Vila Madalena,São Paulo,"Curatorial e contemporâneo. Espaço de arte na Vila Madalena com cursos de aquarela com Lilian Arbex, ateliê de bordado experimental e encadernação manual."
Cozinha da Pintura,pintura,cozinhadapintura,,,https://cozinhadapintura.com.br/,Santana,São Paulo,"Autoral e técnico. Ateliê fundado em 2011 referência em pintura clássica (óleo) e contemporânea, workshops de Impressionismo e Pintura Realista; fora dos bairros prioritários mas estética premium."
Gare Cultural,pintura,garecultural,,,https://www.garecultural.com.br/,Vila Mariana,São Paulo,"Curatorial e jovem. Escola de arte e design desde 2003, cursos de pintura a óleo com galeria própria (Gare Gallery) e mentorias com curadoria autoral."
Atelier Amanda Chohfi,joalheria,atelieramandachohfi,11983600288,contato@atelieramandachohfi.com,https://www.atelieramandachohfi.com,Vila Madalena,São Paulo,"Premium e autoral. Escola de joalheria artesanal de bancada desde 2011, oferece cursos de aliança, gemas, cravação e design de joias com a criadora."
Brutalita Oficina Joalheira,joalheria,brutalita_,,,https://brutalita.com.br/,Vila Mariana,São Paulo,"Jovem e autoral. Oficina com aulas livres ""Meu Primeiro Anel"" e ""Faça sua Aliança"", estética forte no Instagram com 18k seguidores."
Carol Martino Joalheria Artesanal,joalheria,,,,https://www.carolmartino.com.br/,Pinheiros,São Paulo,"Artesanal e boutique. Ateliê de joalheria autoral com peças manuais únicas, base em Pinheiros."
Ateliê Labriola Escola de Ourives,joalheria,,11988381250,info@atelielabriola.com.br,https://www.atelielabriola.com.br/,Vila Madalena,São Paulo,"Premium e curatorial. Casa-ateliê com programa ""Noivos Ourives"" (casais fazem própria aliança) e ""Ourives Por 1 Dia""."
Duas Terezas - Jantar às Cegas,sensorial,duasterezas,,,https://www.duasterezas.com.br/jantar-as-cegas,Vila Mariana,São Paulo,"Sofisticado e experiencial. Chef Mariana Pelozio (Veja Comer & Beber Chef Revelação 2023) conduz blind dinner sensorial em 5 tempos com harmonização desde 2014."
Pasta Lab,gastronomia,pasta_lab_sp_,,,https://www.pastalabsp.com.br/,Sumaré,São Paulo,"Autoral e jovem. Workshops de massa fresca artesanal, classes para amadores e team building próximo ao metrô Vila Madalena."
Per Possi Escola da Pasta,gastronomia,perpossi,,,https://perpossi.com.br/,Pinheiros,São Paulo,"Sofisticado e autoral. Fernanda (ex-MasterChef) ensina pasta italiana em workshop hands-on com vinho, formato curatorial em pequenos grupos."
Coffee Lab,cafe,coffeelab_br,,,https://www.coffeelab.com.br/,Pinheiros,São Paulo,"Premium e referência. Escola de Isabela Raposeiras (1ª Campeã Nacional Barista, Q Grader), cursos de barista júnior, sênior, torra e métodos."
Panadero,gastronomia,,,,https://www.panaderopao.com/,Pinheiros,São Paulo,"Artesanal e autoral. Padaria de fermentação natural com farinha orgânica, oficina de pão hands-on com criação de starter."
Escola Fermentare,fermentacao,escolafermentare,,,https://fermentare.com.br/,Alto de Pinheiros,São Paulo,"Autoral e curatorial. Escola de fermentação há 10 anos: kombucha, sodas selvagens, vegetais fermentados, hidromel - experiência rara e instagramável."
Companhia dos Fermentados,fermentacao,ciadosfermentados,,,https://www.ciadosfermentados.com.br/,,São Paulo,"Premium e autoral. Marca referência em kombucha e fermentados (97k seguidores), oferece cursos de kombucha e fermentação lática, imersões privadas."
Marilia Zylbersztajn Confeitaria,doceria,marilia_zylber_confeitaria,11965700094,,https://www.mariliaconfeitaria.com.br/,Vila Madalena,São Paulo,"Premium e icônica. Eleita melhor confeitaria de SP várias vezes, estética forte (57k seguidores), potencial para workshops autorais de doceria."
Escola de Confeitaria Diego Lozano,doceria,escoladeconfeitaria,,,https://www.escoladeconfeitaria.com.br/,Pinheiros,São Paulo,"Premium e sofisticado. Escola renovada em 2026 em Pinheiros do chef Diego Lozano (elite mundial), aulas com chefs internacionais como Jesús Escalera (ex-El Bulli)."
Miya Wine Bar,degustacao,,,,,Pinheiros,São Paulo,"Sofisticado e curatorial. Wine bar do chef Flávio Miyamura com aulas privadas de sommelier durante jantares harmonizados, foco em vinhos especiais."
FPG Golf Center,golfe,,,,https://cefpgolfe.com.br/,Aeroporto,São Paulo,"Raro e acessível. Primeiro campo de golfe aberto ao público do Brasil, ao lado do Aeroporto de Congonhas, único driving range do país com tecnologia Toptracer; aulas para iniciantes a partir de R$ 15 — golfe sem precisar de clube fechado."
Speedland Kart Center,kart,,,,https://speedland.com.br/,Tatuapé,São Paulo,"Premium e referência. Maior complexo de kart com entretenimento do país, fundado pelo piloto Tuka Rocha: pista híbrida indoor/outdoor de 1,2km com túnel estilo Mônaco, simuladores de F1 e bar — formato forte para grupos e eventos corporativos."
Adrena Paintball & Airsoft,paintball,,,,https://adrenapaintball.com/,,São Paulo,"Estabelecido e cinematográfico. Mais de 18 anos de mercado e 3 bases com cenários imersivos (Favela de 5.000m², Afeganistão); ideal para team building corporativo, despedidas de solteiro e grupos grandes."
Hatchet House Brasil,machado,,,,,Vila Olímpia,São Paulo,"Raro e experiencial. Primeira casa de arremesso de machado do Brasil: 600m² com 8 pistas, instrutores, bar e cozinha autoral na Rua Prof. Vahia de Abreu 587 — experiência urbana inusitada e muito fotogênica."
Casa de Pedra,escalada,,,,https://casadepedra.com.br/,Pompeia,São Paulo,"Referência e acessível. Maior ginásio de escalada da América do Sul, com unidades na Pompeia e em Moema; day pass com instrução inicial inclusa, boulder e top rope para iniciantes sem agendamento."
Arco e Flecha Panizo,arquearia,,,,https://www.arcopanizo.com.br/,,São Paulo,"Autoral e raríssimo. Escola do tricampeão mundial de arco e flecha Panizo, com mais de 33 anos de experiência; aulas avulsas de 1h para duplas, casais e pequenos grupos — formato de experiência pronto."
Escape 60',escape,,,,https://escape60.com.br/,Vila Olímpia,São Paulo,"Estabelecido e corporativo. Maior rede de escape rooms do Brasil, com 5 unidades em SP (Vila Olímpia, Pinheiros, Tatuapé, Moema, Jardins); salas temáticas imersivas para grupos de 2 a 12 pessoas e forte atuação em team building."
Escola de Vela Kaluanã,nautica,,,,https://www.escolakaluana.com.br/,Guarapiranga,São Paulo,"Raro e sofisticado. Escola de vela na Represa Guarapiranga, uma das melhores raias do país (águas calmas e vento constante); curso básico de 12h em turmas de 1-2 alunos e vivências de um dia — experiência náutica sem sair da cidade."
Trapézio Voador,circo,trapeziovoador,,,https://www.trapeziovoador.com.br/,Butantã,São Paulo,"Raríssimo e instagramável. Escola de artes circenses com trapézio voador (grand volant), tecido acrobático e lira na Rua Alvarenga 150, perto do metrô Butantã; aula experimental com rede e lonja de segurança — frio na barriga garantido."
AVSP - Autódromo Virtual de São Paulo,simulador,,11947430590,,https://www.avsp.com.br/,Vila Romana,São Paulo,"Jovem e tecnológico. Centro de automobilismo virtual com simuladores profissionais na Rua Catão 904, baterias agendadas e campeonatos amadores — experiência de pilotagem realista, alternativa indoor ao kart."
